subgenre_id,subgenre_name,genre_id
KZazBEonSMnZfZ7vAvE,Adult Alternative Pop/Rock,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAvJ,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAvI,Alternative Dance,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAvt,Alternative Metal,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAvn,Alternative Rock,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAvl,Ambient Pop,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAev,American Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAee,Americana,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAed,Baroque Pop,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAe7,British Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAeA,British Ska,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAek,C-86,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAe6,Chamber Pop,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAeF,Cocktail,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAea,College Rock,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAe1,Cowpunk,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAeJ,Dream Pop,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAeE,Electro-Industrial,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAeI,Electronic Pop,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAet,Funk Metal,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAen,Goth,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAel,Grunge,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdv,Indie Pop,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAde,Indie Rock,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdd,Industrial,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAd7,Industrial Dance,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdA,Jangle Pop,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdk,Lo-Fi,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAd6,Madchester,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdF,Math Rock,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAda,Neo-Glam,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAd1,Neo-Psychedelia,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdJ,Neo-Traditional Folk,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdE,New Zealand Rock,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdI,Noise Pop,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdt,Paisley Underground,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdn,Pop Underground,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdl,Post-Grunge,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7v,Post-Punk,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7e,Post-Punk Revival,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7d,Post-Rock/Experimental,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA77,Psychobilly,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7A,Queercore,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7k,Riot Grrrl,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA76,Sadcore,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7F,Shoegaze,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7a,Ska,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA71,Ska Punk,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7J,Skatepunk,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7E,Slowcore,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7I,Space Rock,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7t,Third Wave Ska Revival,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7n,Twee Pop,KnvZfZ7vAvv
KZazBEonSMnZfZ7vA7l,Urban Folk,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAAe,Ballads/Romantic,KnvZfZ7vAve
KZazBEonSMnZfZ7vAA7,Acoustic Blues,KnvZfZ7vAvd
KZazBEonSMnZfZ7vAAA,Avant-Garde Blues,KnvZfZ7vAvd
KZazBEonSMnZfZ7vAAd,Blues,KnvZfZ7vAvd
KZazBEonSMnZfZ7vAAk,Blues Gospel,KnvZfZ7vAvd
