venue_id,venue_name,postalCode,city,state,address,latitude,longitude
KovZ917AihI,Harry Bridges Memorial Park,90802,Long Beach,CA,1126 Queens Hwy,33.752682,-118.190277
ZFr9jZ77ea,Queen Mary Park,90802,Long Beach,CA,1126 Queen Mary Hwy,33.7687,-118.185997
KovZpZAkldvA,Copper Blues Oxnard Resturant,93036,Oxnard,CA,581 Collections Blvd,34.240229,-119.176274
KovZ917A967,The Echo,90026,Los Angeles,CA,1822 W Sunset Blvd,34.077729,-118.260108
KovZ917AJ5H,The Moroccan Lounge,90012,Los Angeles,CA,901 E 1st Street,34.04898,-118.23365
KovZpZAEA67A,House of Blues Anaheim,92802,Anaheim,CA,"400 W Disney Way, #337",33.8095868,-117.9229975
KovZ917AGff,Constellation Room,92704,Santa Ana,CA,3503 South Harbor Boulevard,33.699879,-117.917493
KovZpa6OCe,Echoplex,90026,Los Angeles,CA,1154 Glendale Blvd,34.0775847,-118.2606316
KovZ917AJue,YouTube Theater,90301,Inglewood,CA,1011 S. Stadium Dr,33.94982,-118.3436
KovZpZA77elA,Vina Robles Amphitheatre,93446,Paso Robles,CA,3800 Mill Road,35.64581971,-120.62933832
Z6r9jZkv7e,El Rey Theatre - Los Angeles,90036,Los Angeles,CA,5515 Wilshire Blvd.,34.070202,-118.349998
Z7r9jZadbo,1720,90021,Los Angeles,CA,1720 E 16th St,34.028702,-118.239197
KovZ917A2k0,The Peppermint Club,90048,Los Angeles,CA,8713 Beverly Blvd,34.076851,-118.381072
ZFr9jZFAaF,Pappy and Harriets Pioneertown Palace,92268,Pioneertown,CA,53688 Pioneertown Road,34.194401,-116.548203
KovZpZAJvlnA,The GRAMMY Museum,90015,Los Angeles,CA,"800 W. Olympic Blvd., Ste. A245",34.04441,-118.264647
KovZpZAEAl6A,The Wiltern,90010,Los Angeles,CA,3790 Wilshire Blvd.,34.06141494,-118.30879207
ZFr9jZeFAd,Troubadour,90069,West Hollywood,CA,9081 Santa Monica Blvd.,34.0942,-118.3815
KovZpZAJvttA,The Belasco,90015,Los Angeles,CA,1050 South Hill Street,34.04024506,-118.2592392
KovZpZAF6JkA,The Observatory,92704,Santa Ana,CA,3503 S. Harbor Blvd.,33.6997648,-117.9175717
ZFr9jZeA6a,Roxy Theatre-CA,90069,West Hollywood,CA,9009 Sunset Blvd,34.0942,-118.3815
ZFr9jZ1a16,The Theatre at Ace Hotel,90015,Los Angeles,CA,929 Broadway,34.0397,-118.266403
KovZpZAkEFlA,Toyota Arena,91764,Ontario,CA,4000 E. Ontario Center Parkway,34.075329,-117.566364
ZFr9jZAvFe,Yaamava' Resort & Casino at San Manuel,92346,Highland,CA,777 San Manuel Blvd.,34.1353,-117.153198
ZFr9jZ6dAF,The Novo by Microsoft,90015,Los Angeles,CA,800 West Olympic Blvd,34.0397,-118.266403
Z6r9jZ1eFe,Libbey Bowl,93023,Ojai,CA,269 E Ojai Ave,34.579498,-119.124802
Z6r9jZF7Fe,Hollywood Bowl,90078,Los Angeles,CA,2301 N. Highland Ave.,34.100201,-118.327301
KovZ917AtIz,The Biergarten at Old World HB,92647,Huntington Beach,CA,"7561 Center Ave., #49",33.73469267,-117.9966533
KovZpZAEvnFA,Teragram Ballroom,90017,Los Angeles,CA,1234 West 7th Street,34.051841,-118.267076
KovZ917AGEf,The Parish at House of Blues Anaheim,92802,Anaheim,CA,"400 W Disney Way, #337",33.806533,-117.912474
KovZpZAaaaEA,Morongo Casino Resort and Spa,92230,Cabazon,CA,49500 Seminole Dr,33.92210864,-116.80553543
KovZpZAJ6daA,The Regent Theater,90013,Los Angeles,CA,448 S. Main St.,34.0473,-118.24799
KovZ917AiNY,The Torch at LA Coliseum,90037,Los Angeles,CA,3911 S. Figueroa Street,34.01468,-118.28297
KovZpZAF6EaA,The Pacific Amphitheatre,92626,Costa Mesa,CA,100 Fair Drive,33.6638834,-117.9047684
KovZ917A8gf,FivePoint Amphitheatre,92618,Irvine,CA,14800 Chinon,33.658166,-117.7286
KovZpZAJFknA,OC Tavern,92672,San Clemente,CA,2369 S. El Camino Real,33.41277632,-117.60027409
Z7r9jZadwd,The Canyon-Montclair,91763,Montclair,CA,5600 N Montclair Plaza Ln,34.075298,-117.697197
Z7r9jZa7OK,Ventura Music Hall,93001,Ventura,CA,1888 E. Thompson Blvd.,34.348801,-119.330399
KovZpZAE7dFA,"Scherr Forum- B of A Performing Arts Center, Thousand Oaks",91362,Thousand Oaks,CA,2100 E. Thousand Oaks Blvd,34.175071,-118.849491
KovZ917A3c0,BMO Stadium,90037,Los Angeles,CA,3939 S. Figueroa St,34.012879,-118.284926
ZFr9jZea1v,Saban Theatre,90211,Beverly Hills,CA,8440 Wilshire Blvd.,34.064899,-118.382896
KovZpZAFAIEA,City National Grove of Anaheim,92806,Anaheim,CA,2200 East Katella Ave.,33.80303485,-117.88624041
ZFr9jZ1ee7,Hyatt Regency Newport Beach,92660,Newport Beach,CA,1107 Jamboree Road,33.623501,-117.864403
KovZpZAallJA,Spotlight 29 Casino,92236,Coachella,CA,46-200 Harrison Place,33.7102286,-116.1828984
ZFr9jZ67A6,Shrine Expo Hall,90007,Los Angeles,CA,665 W. Jefferson Blvd,34.027599,-118.285004
KovZ917ALV3,Pershing Square,90013,Los Angeles,CA,532 S Olive St.,34.048469,-118.253064
KovZpa2Hxe,Greek Theatre,90027,Los Angeles,CA,2700 N. Vermont Ave,34.11948811,-118.29629093
KovZpZAEA66A,Rose Bowl,91103,Pasadena,CA,1001 Rose Bowl Drive,34.16146505,-118.16751312
KovZpZA1vvlA,Pechanga Resort Casino,92592,Temecula,CA,45000 Pechanga Parkway,33.455577,-117.1059
KovZ917A-Tn,Acrisure Arena at Greater Palm Springs,92211,Palm Desert,CA,75702 Varner Rd.,33.825315,-116.542747
ZFr9jZAFek,Canyon Club-CA,91301,Agoura Hills,CA,28912 Roadside Dr,34.140301,-118.762497
KovZpZAEA6FA,Riverside Municipal Auditorium,92501,Riverside,CA,3485 Mission Inn Ave,33.9818337,-117.3712786
KovZ917AiI3,The Bellwether,90025,Los Angeles,CA,333 S. Boylston St.,34.0573,-118.25837
KovZpZAAtE6A,Incahoots - Fullerton,92832,Fullerton,CA,1401 S Lemon St,33.85783,-117.920632
KovZpZAEkn6A,Kia Forum,90305,Inglewood,CA,3900 W Manchester Blvd.,33.9583,-118.341868
