Event ID,event_name,venue_id,event_url,image_url,startDate,startTime,genre_id,subgenre_id,min_price,max_price
LvZ18_kVUmz5OA8ZO4DXY,Spotlight: G Flip,KovZpZAJvlnA,https://www.universe.com/events/spotlight-g-flip-tickets-P8FC9D?ref=ticketmaster,https://s1.ticketm.net/dam/a/56a/a2b354e0-e294-4533-997a-ff30ad96356a_TABLET_LANDSCAPE_16_9.jpg,2023-06-26,19:30:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,,
vvG10Z9PF3gzL_,"Grandson & K.Flay Present: I Love You, I'm Trying Tour",KovZpZAEAl6A,https://concerts.livenation.com/grandson-kflay-present-i-love-you-los-angeles-california-06-27-2023/event/09005E5212D787D9,https://s1.ticketm.net/dam/a/b67/55b92944-5522-4f20-b4da-1281a6529b67_SOURCE,2023-06-27,18:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6dt,32.0,39.5
Z7r9jZ1AdOs1K,Catie Turner,ZFr9jZeFAd,https://www.ticketmaster.com/event/Z7r9jZ1AdOs1K,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_RECOMENDATION_16_9.jpg,2023-06-27,19:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
vvG10Z9NlLdMDP,TARJA:  Living the Dream Tour,KovZpZAJvttA,https://concerts.livenation.com/tarja-living-the-dream-tour-los-angeles-california-06-27-2023/event/09005E3ADF0F7EE5,https://s1.ticketm.net/dam/a/f5b/d1324177-740c-45e5-9e2e-d0b74ac3cf5b_1866451_TABLET_LANDSCAPE_3_2.jpg,2023-06-27,19:00:00,KnvZfZ7vAvt,KZazBEonSMnZfZ7vaJ6,35.0,35.0
vvG10Z9i9bsNKu,Moorea Masa & The Mood,KovZ917AJ5H,https://www.ticketmaster.com/moorea-masa-the-mood-los-angeles-california-06-27-2023/event/09005EC5D8C634CD,https://s1.ticketm.net/dam/e/dd5/d7593727-e1cd-4354-a8eb-11e21a1ecdd5_RETINA_LANDSCAPE_16_9.jpg,2023-06-27,19:00:00,KnvZfZ7vAee,KZazBEonSMnZfZ7vknE,15.0,15.0
vvG10Z9nTZQKC_,New Hope Club,KovZ917AGff,https://concerts.livenation.com/new-hope-club-santa-ana-california-06-27-2023/event/09005EAFC0693399,https://s1.ticketm.net/dam/a/c69/0382b592-1a45-4453-a4ea-96b3195c2c69_TABLET_LANDSCAPE_3_2.jpg,2023-06-27,19:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,20.0,20.0
LvZ18_6zWKLypkOZi8Jmr,An Evening With Ivan Neville,KovZpZAJvlnA,https://www.universe.com/events/an-evening-with-ivan-neville-tickets-J52ZGT?ref=ticketmaster,https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_RETINA_PORTRAIT_16_9.jpg,2023-06-27,19:30:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,,
vvG10Z9lGGoyxl,"Sean Healy Presents: Deante Hitchcock with Kwame Adu, and DYVE",KovZ917A967,https://concerts.livenation.com/sean-healy-presents-deante-hitchcock-with-los-angeles-california-06-27-2023/event/09005EB30C4798AB,https://s1.ticketm.net/dam/a/951/63bea9b1-e0a5-4335-92fe-2c5d2ef51951_TABLET_LANDSCAPE_16_9.jpg,2023-06-27,19:30:00,KnvZfZ7vAv1,KZazBEonSMnZfZ7vaa1,18.0,18.0
vvG10Z9JB1Dv8u,Bonzie,KovZ917AJ5H,https://www.ticketmaster.com/bonzie-los-angeles-california-06-28-2023/event/09005E6E8AEC140D,https://s1.ticketm.net/dam/e/07c/c10dd7ee-53a9-48f2-89c5-c7aedf72407c_TABLET_LANDSCAPE_LARGE_16_9.jpg,2023-06-28,18:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6dt,10.0,10.0
Z7r9jZ1Adxf89,Tenille Arts,ZFr9jZeFAd,https://www.ticketmaster.com/event/Z7r9jZ1Adxf89,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_RECOMENDATION_16_9.jpg,2023-06-28,19:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
vvG10Z9I9hTSaj,Bashfortheworld,KovZ917AGff,https://concerts.livenation.com/bashfortheworld-santa-ana-california-06-28-2023/event/09005E85DBFF325C,https://s1.ticketm.net/dbimages/465623a.jpg,2023-06-28,19:00:00,KnvZfZ7vAv1,KZazBEonSMnZfZ7vaa1,30.0,30.0
vvG10Z9lXxjwT9,"Tchotchke with The Umbrellas, and Uni Boys",KovZ917A967,https://concerts.livenation.com/tchotchke-with-the-umbrellas-and-uni-los-angeles-california-06-28-2023/event/09005EBFA2732FD7,https://s1.ticketm.net/dam/a/a13/d45a6ffb-72fd-4eaa-bac2-9f808e009a13_TABLET_LANDSCAPE_LARGE_16_9.jpg,2023-06-28,19:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6dt,16.0,16.0
vvG10Z9lL3706t,Yella Beezy,KovZpZAF6JkA,https://concerts.livenation.com/yella-beezy-santa-ana-california-06-28-2023/event/09005EB7D21241E9,https://s1.ticketm.net/dam/a/9ad/996ca3b0-787e-4ad1-b76a-c92f08cd69ad_981291_RETINA_PORTRAIT_16_9.jpg,2023-06-28,19:30:00,KnvZfZ7vAv1,KZazBEonSMnZfZ7vaa1,30.0,30.0
vvG10Z9nEcbkH9,Jack & Jack with Sammy Wilk,KovZ917A2k0,https://www.ticketmaster.com/jack-jack-with-sammy-wilk-los-angeles-california-06-28-2023/event/09005EA9ED606F17,https://s1.ticketm.net/dam/a/d0c/653da32c-8174-40f2-982a-2fdce2d57d0c_885201_TABLET_LANDSCAPE_3_2.jpg,2023-06-28,19:30:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,20.0,20.0
Z7r9jZ1Ad-JJf,Lyn Lapid,ZFr9jZeA6a,https://www.ticketmaster.com/event/Z7r9jZ1Ad-JJf,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_RECOMENDATION_16_9.jpg,2023-06-28,20:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
Z7r9jZ1Ad-OoY,Jonathan McReynolds,ZFr9jZ1a16,https://www.ticketmaster.com/event/Z7r9jZ1Ad-OoY,https://s1.ticketm.net/dam/a/d16/241734c6-9c6c-44c1-abc0-ffdfb3bf9d16_RECOMENDATION_16_9.jpg,2023-06-28,20:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
