subgenre_id,genre_name,genre_id
KZazBEonSMnZfZ7vAvE,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAvJ,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAvI,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAvt,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAvn,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAvl,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAev,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAee,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAed,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAe7,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAeA,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAek,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAe6,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAeF,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAea,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAe1,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAeJ,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAeE,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAeI,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAet,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAen,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAel,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdv,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAde,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdd,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAd7,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdA,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdk,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAd6,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAdF,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAda,Alternative,KnvZfZ7vAvv
KZazBEonSMnZfZ7vAd1,Alternative,KnvZfZ7vAvv
