venue_id,SeatMap
KovZpZAJvttA,https://maps.ticketmaster.com/maps/geometry/3/event/09005E75C3A52AB0/staticImage?type=png&systemId=HOST
KovZ917AGff,https://maps.ticketmaster.com/maps/geometry/3/event/09005E8A0C1A320F/staticImage?type=png&systemId=HOST
KovZ917AJ5H,https://maps.ticketmaster.com/maps/geometry/3/event/09005E85FA573FB8/staticImage?type=png&systemId=HOST
KovZpa6OCe,https://maps.ticketmaster.com/maps/geometry/3/event/09005E84A34F15F0/staticImage?type=png&systemId=HOST
KovZpa2Hxe,https://maps.ticketmaster.com/maps/geometry/3/event/09005E39C0B865F7/staticImage?type=png&systemId=HOST
KovZpZAEA67A,https://maps.ticketmaster.com/maps/geometry/3/event/09005E397FDA16DF/staticImage?type=png&systemId=HOST
KovZpZAEAl6A,https://maps.ticketmaster.com/maps/geometry/3/event/09005E57F696770C/staticImage?type=png&systemId=HOST
KovZ917AGEf,https://maps.ticketmaster.com/maps/geometry/3/event/09005E92C4AA2B26/staticImage?type=png&systemId=HOST
KovZ917AGff,https://maps.ticketmaster.com/maps/geometry/3/event/09005CBBFB4A6D13/staticImage?type=png&systemId=HOST
ZFr9jZeFAd,https://content.resale.ticketmaster.com/graphics/TMResale/2/VenueMaps/1742-0-0-1-GAStage71229.png
ZFr9jZ6kv7,https://content.resale.ticketmaster.com/graphics/TMResale/2/VenueMaps/6503-0-0-1-ReneeandHenrySegerstromConcertHall.png
ZFr9jZAvFe,https://content.resale.ticketmaster.com/maps/4071-1-1-main.gif
KovZpZAEkn6A,https://maps.ticketmaster.com/maps/geometry/3/event/09005D77F7544A23/staticImage?type=png&systemId=HOST
KovZpakTme,https://maps.ticketmaster.com/maps/geometry/3/event/09005E74A92C1D60/staticImage?type=png&systemId=HOST
KovZpakTme,https://maps.ticketmaster.com/maps/geometry/3/event/09005E74A9301D63/staticImage?type=png&systemId=HOST
KovZ917A967,https://maps.ticketmaster.com/maps/geometry/3/event/09005E74EB4742E0/staticImage?type=png&systemId=HOST
KovZpZAEvnFA,https://maps.ticketmaster.com/maps/geometry/3/event/09005E67E6EF3407/staticImage?type=png&systemId=HOST
KovZ917AJue,https://maps.ticketmaster.com/maps/geometry/3/event/0A005E49ADE54589/staticImage?type=png&systemId=HOST
