venue_id,venue_name,postalCode,city,state,address,latitude,longitude
KovZpZAJvttA,The Belasco,90015,{'name': 'Los Angeles'},CA,{'line1': '1050 South Hill Street'},34.04024506,-118.2592392
KovZ917AGff,Constellation Room,92704,{'name': 'Santa Ana'},CA,{'line1': '3503 South Harbor Boulevard'},33.699879,-117.917493
KovZ917AJ5H,The Moroccan Lounge,90012,{'name': 'Los Angeles'},CA,{'line1': '901 E 1st Street'},34.04898,-118.23365
KovZpZAkldvA,Copper Blues Oxnard Resturant,93036,{'name': 'Oxnard'},CA,{'line1': '581 Collections Blvd'},34.240229,-119.176274
KovZpa2Hxe,Greek Theatre,90027,{'name': 'Los Angeles'},CA,{'line1': '2700 N. Vermont Ave'},34.11948811,-118.29629093
KovZpa6OCe,Echoplex,90026,{'name': 'Los Angeles'},CA,{'line1': '1154 Glendale Blvd'},34.0775847,-118.2606316
KovZpa2Hxe,Greek Theatre,90027,{'name': 'Los Angeles'},CA,{'line1': '2700 N. Vermont Ave'},34.11948811,-118.29629093
KovZpZAEA67A,House of Blues Anaheim,92802,{'name': 'Anaheim'},CA,"{'line1': '400 W Disney Way, #337'}",33.8095868,-117.9229975
KovZpZAEAl6A,The Wiltern,90010,{'name': 'Los Angeles'},CA,{'line1': '3790 Wilshire Blvd.'},34.06141494,-118.30879207
KovZ917AGEf,The Parish at House of Blues Anaheim,92802,{'name': 'Anaheim'},CA,"{'line1': '400 W Disney Way, #337'}",33.806533,-117.912474
ZFr9jZ1ee7,Hyatt Regency Newport Beach,92660,{'name': 'Newport Beach'},CA,{'line1': '1107 Jamboree Road'},33.623501,-117.864403
KovZ917AGff,Constellation Room,92704,{'name': 'Santa Ana'},CA,{'line1': '3503 South Harbor Boulevard'},33.699879,-117.917493
ZFr9jZ6dAF,The Novo by Microsoft,90015,{'name': 'Los Angeles'},CA,"{'line1': '800 West Olympic Blvd', 'line2': 'Suite A335'}",34.0397,-118.266403
ZFr9jZeFAd,Troubadour,90069,{'name': 'West Hollywood'},CA,{'line1': '9081 Santa Monica Blvd.'},34.0942,-118.3815
ZFr9jZ6kv7,Renee and Henry Segerstrom Concert Hall,92626,{'name': 'Costa Mesa'},CA,{'line1': '600 Town Center Drive'},33.6791,-117.908699
ZFr9jZAvFe,Yaamava' Resort & Casino at San Manuel,92346,{'name': 'Highland'},CA,"{'line1': '777 San Manuel Blvd.', 'line2': 'Highland, CA'}",34.1353,-117.153198
KovZpZAEkn6A,Kia Forum,90305,{'name': 'Inglewood'},CA,{'line1': '3900 W Manchester Blvd.'},33.9583,-118.341868
KovZpakTme,Honda Center,92806,{'name': 'Anaheim'},CA,{'line1': '2695 E. Katella'},33.80780364,-117.87653112
KovZpakTme,Honda Center,92806,{'name': 'Anaheim'},CA,{'line1': '2695 E. Katella'},33.80780364,-117.87653112
KovZ917A967,The Echo,90026,{'name': 'Los Angeles'},CA,{'line1': '1822 W Sunset Blvd'},34.077729,-118.260108
KovZpZAEvnFA,Teragram Ballroom,90017,{'name': 'Los Angeles'},CA,{'line1': '1234 West 7th Street'},34.051841,-118.267076
KovZ917AJue,YouTube Theater,90301,{'name': 'Inglewood'},CA,{'line1': '1011 S. Stadium Dr'},33.94982,-118.3436
